"Hora","dia","consumo_mwh","mes","mes_nombre","fecha","hora_inicio","dia_semana","dia_semana_num","es_fin_semana","es_semana_laboral","es_viernes","estacion","es_ciclo_escolar_activo","es_feriado","tipo_dia","periodo_dia","mes_factor","dia_semana_factor"
"8.3333333333333301E-2",4,76.3314297222793,1,"ENERO",2023-01-04,8,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","miércoles"
"8.3333333333333301E-2",5,76.2104970227109,1,"ENERO",2023-01-05,8,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","jueves"
"8.3333333333333301E-2",6,61.02153769,1,"ENERO",2023-01-06,8,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Mañana","ENERO","viernes"
"8.3333333333333301E-2",7,73.80375135,1,"ENERO",2023-01-07,8,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","sábado"
"8.3333333333333301E-2",8,76.2637912040292,1,"ENERO",2023-01-08,8,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","domingo"
"8.3333333333333301E-2",9,76.2747074878331,1,"ENERO",2023-01-09,8,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","lunes"
"8.3333333333333301E-2",10,108.81415631,1,"ENERO",2023-01-10,8,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","martes"
"8.3333333333333301E-2",11,81.4756896607497,1,"ENERO",2023-01-11,8,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","miércoles"
"8.3333333333333301E-2",12,81.5824918152248,1,"ENERO",2023-01-12,8,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","jueves"
"8.3333333333333301E-2",13,33.09404329,1,"ENERO",2023-01-13,8,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Mañana","ENERO","viernes"
"8.3333333333333301E-2",14,33.32008062,1,"ENERO",2023-01-14,8,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","sábado"
"8.3333333333333301E-2",15,12.35077261,1,"ENERO",2023-01-15,8,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","domingo"
"8.3333333333333301E-2",16,75.74245662,1,"ENERO",2023-01-16,8,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","lunes"
"8.3333333333333301E-2",17,76.7325827098086,1,"ENERO",2023-01-17,8,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","martes"
"8.3333333333333301E-2",18,77.0129897995876,1,"ENERO",2023-01-18,8,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","miércoles"
